Tree_ID,Name,Scientific_Name,Latitude,Longitude,Tree_Circumference(cm),DBH(cm),Height(m),Wood_density,AGB,Carbon_Storage(C)
UTMBERSERIA00202,Kasai,Pometia Pinnata,1.560566034,103.637108,103,32.8,7.9,0.6,279.62,139.81
UTMBERSERIA00203,Kasai,Pometia Pinnata,1.560437959,103.636054,87,27.7,4.03,0.6,104.23,52.11
UTMBERSERIA00204,Kasai,Pometia Pinnata,1.56039496,103.636025,73,23.2,5.05,0.6,91.9,45.95
UTMBERSERIA00205,Kasai,Pometia Pinnata,1.560335029,103.636066,116,36.9,5.11,0.6,230.01,115
UTMBERSERIA00206,Kasai,Pometia Pinnata,1.560281971,103.636107,142,45.2,6.01,0.6,400.41,200.2
UTMBERSERIA00207,Kasai,Pometia Pinnata,1.560211983,103.63616,201,64,5.4,0.6,711.16,355.58
UTMBERSERIA00208,Kasai,Pometia Pinnata,1.560251964,103.63601,68,21.6,3.34,0.6,53.4,26.7
UTMBERSERIA00209,Kasai,Pometia Pinnata,1.560280966,103.635936,56,17.8,3.1,0.6,34.03,17.02
UTMBERSERIA00210,Kasai,Pometia Pinnata,1.560269985,103.635852,84,26.7,2.8,0.6,67.99,34
UTMBERSERIA00211,Kasai,Pometia Pinnata,1.56027996,103.635726,62,19.7,3.53,0.6,47.09,23.54
UTMBERSERIA00212,Red Frangipani,"Plumeria Rubra L,",1.560176024,103.635396,33.8,10.8,2.53,0.5,9.13,4.56
UTMBERSERIA00213,Red Frangipani,"Plumeria Rubra L,",1.560139982,103.635434,26.9,8.6,3.06,0.5,7.43,3.71
UTMBERSERIA00214,Red Frangipani,"Plumeria Rubra L,",1.560117016,103.635449,28.7,9.1,2.46,0.5,6,3
UTMBERSERIA00215,Red Frangipani,"Plumeria Rubra L,",1.560022971,103.635502,29.5,9.4,2.54,0.5,6.19,3.1
UTMBERSERIA00216,Red Frangipani,"Plumeria Rubra L,",1.560033029,103.635564,29.1,9.3,2.37,0.5,5.79,2.89
UTMBERSERIA00217,Chengal Pasir,"Hopea Odorata Roxb,",1.560101006,103.637078,21.4,6.8,2.22,0.68,4.49,2.24
UTMBERSERIA00218,Chengal Pasir,"Hopea Odorata Roxb,",1.559964968,103.637109,26.3,8.4,2.69,0.68,7.03,3.51
UTMBERSERIA00219,Chengal Pasir,"Hopea Odorata Roxb,",1.559988018,103.637131,28.6,9.1,5,0.68,16.2,8.1
UTMBERSERIA00220,Pongame Oiltree,Pongamia Pinnata,1.560270991,103.637214,210,66.8,9.23,0.54,1184.04,592.02
UTMBERSERIA00221,Spanish Cherry,Mimusops Elengi L,1.560374005,103.637412,122,38.8,4.22,0.81,284.94,142.47
UTMBERSERIA00031,Black Penda,Xanthostemon Chrysanthus,1.5580748,103.6355921,86,27.4,14.55,0.883,519.74,259.87
UTMBERSERIA00032,Black Penda,Xanthostemon Chrysanthus,1.558064036,103.6356036,238.62,76,7.75,0.883,2060.73,1030.37
UTMBERSERIA00033,,Mangifera indica,1.5581098,103.6355115,62,19.7,6.82,0.48,72.31,36.15
UTMBERSERIA00034,Black Penda,Xanthostemon Chrysanthus,1.558065622,103.6354774,41,13.1,4.82,0.883,41.65,20.82
UTMBERSERIA00035,Stinkwood,Ocoteabullata,1.558102969,103.6354019,64,20.4,12,0.6,165.93,82.96
UTMBERSERIA00036,Sweetbay magnolia,Magnolia virginia,1.558084966,103.6354018,62,19.7,3.12,0.6,41.91,20.95
UTMBERSERIA00037,Black penda,Xanthostemon Chrysanthus,1.558047321,103.6353755,21,6.7,3,0.883,7.09,3.55
UTMBERSERIA00038,Black Penda,Xanthostemon Chrysanthus,1.5580479,103.6353421,50,15.9,4,0.883,51.18,25.59
UTMBERSERIA00039,Medlar,Mespilusgermacia,1.558121262,103.6353779,85,27.1,4.72,0.6,116.19,58.09
UTMBERSERIA00040,Bunga tanjung,Mespilusgermanica,1.558044548,103.6352406,85,27.1,5.13,0.81,168.92,84.46
UTMBERSERIA00041,Bunga tanjung,Mespilusgermanica,1.55801207,103.6352392,45,14.3,3.8,0.81,36.39,18.19
UTMBERSERIA00042,Bunga tanjung,Mespilusgermanica,1.558000035,103.6351783,61,19.4,4.6,0.81,79.47,39.74
UTMBERSERIA00043,Bunga tanjung,Mespilusgermanica,1.557996729,103.6351182,63.5,20.2,4.68,0.81,87.36,43.68
UTMBERSERIA00044,Bunga tanjung,Mespilusgermanica,1.557964554,103.6351658,150,47.7,5.35,0.81,533.24,266.62
UTMBERSERIA00045,Amboyna wood,PterocarpusIndicus,1.55794079,103.6349313,330,105,18,0.52,5268.23,2634.11
UTMBERSERIA00046,Siris tree ,Albizia Lebbeck,1.557991935,103.6348472,68,21.6,10.5,0.6,164.05,82.03
UTMBERSERIA00047,Amboyna wood,PterocarpusIndicus,1.558024079,103.6348867,105,33.4,7.2,0.52,230.38,115.19
UTMBERSERIA00048,Amboyna wood,PterocarpusIndicus,1.558092527,103.6347936,278,88.5,6,0.52,1290.17,645.09
UTMBERSERIA00049,Amboyna wood,PterocarpusIndicus,1.558134193,103.6347737,410,130.5,6,0.52,2754.52,1377.26
